SamAccountName,Name,GivenName,SurName,Title,Company,Department,EmailAddress,Path
S.Spencer,Stephen Spencer,Stephen,Spencer,CEO,The Four Horseman Corp,Management,S.Spencer@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
J.Cole,James Cole,James,Cole,CFO,The Four Horseman Corp,Management,J.Cole@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
D.Gallegos,Douglas Gallegos,Douglas,Gallegos,CTO,The Four Horseman Corp,Management,D.Gallegos@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
J.Wong,Jasmine Wong,Jasmine ,Wong,VP,The Four Horseman Corp,Management,J.Wong@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
J.Smith,Joseph Smith,Joseph ,Smith,VP,The Four Horseman Corp,Management,J.Smith@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
K.Chapman,Kimberly Chapman,Kimberly ,Chapman,Network Director,The Four Horseman Corp,IT,K.Chapman@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
T.Truong,Trung Truong,Trung,Truong,Network Manager,The Four Horseman Corp,IT,T.Truong@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
J.Crisostomo,Jay Crisostomo,Jay,Crisostomo,Senior IT Technician,The Four Horseman Corp,IT,J.Crisostomo@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
A.Boutdara,Allen Boutdara,Allen,Boutdara,Senior IT Technician,The Four Horseman Corp,IT,A.Boutdara@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
T.Rodgers,Todd Rodgers,Todd,Rodgers,IT Technician,The Four Horseman Corp,IT,T.Rodgers@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
K.Benitez,Kirsten Benitez,Kirsten ,Benitez,IT Technician,The Four Horseman Corp,IT,K.Benitez@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
T.Villegas,Thomas Villegas,Thomas,Villegas,Senior Engineer,The Four Horseman Corp,Engineering,T.Villegas@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
L.Rowe,Laura Rowe,Laura ,Rowe,Senior Engineer,The Four Horseman Corp,Engineering,L.Rowe@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
M.Johnson,Mark Johnson,Mark ,Johnson,Senior Engineer,The Four Horseman Corp,Engineering,M.Johnson@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
C.Martin,Caitlin Martin,Caitlin ,Martin,Engineer,The Four Horseman Corp,Engineering,C.Martin@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
D.Grant,Dennis Grant,Dennis ,Grant,Engineer,The Four Horseman Corp,Engineering,D.Grant@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
B.Mercado,Bethany Mercado,Bethany,Mercado,Engineer,The Four Horseman Corp,Engineering,B.Mercado@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
S.Owens,Susan Owens,Susan ,Owens,Junior Engineer,The Four Horseman Corp,Engineering,S.Owens@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
I.Lin,Ian Lin,Ian ,Lin,Senior Generalist,The Four Horseman Corp,Human Resources,I.Lin@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
H.Hill,Heather Hill,Heather ,Hill,Senior Generalist,The Four Horseman Corp,Human Resources,H.Hill@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
T.Lane,Toni Lane,Toni ,Lane,Generalist,The Four Horseman Corp,Human Resources,T.Lane@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
B.Le,Brittany Le,Brittany ,Le,Generalist,The Four Horseman Corp,Human Resources,B.Le@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
E.Davies,Evan Davies,Evan ,Davies,Junior Generalist,The Four Horseman Corp,Human Resources,E.Davies@fourhorseman.com,"OU=Users,OU=Corporate,DC=starwars,DC=local"
